product url,brand,name,shade,dominant color 1
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Golden Hour satin peach pink,#fd95a4
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Tequila Sunset muted peach,#fd917c
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Watermelon Rain fuchsia,#fa607a
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Candy Clouds cool soft pink,#fcafc9
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Head In The Clouds dusty muted pink,#fd8c80
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Velvet Crush nude pink,#eb937e
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Super Candy Clouds cool-tone fuchsia,#f680b8
https://www.sephora.com/product/too-faced-cloud-crush-blurring-powder-blush-P504072,Too Faced,Cloud Crush Blurring Powder Blush,Berry Dreamy deep berry,#8c4861
https://www.sephora.com/product/powder-kiss-lip-cheek-mousse-P520514,MAC Cosmetics,Powder Kiss Lip & Cheek Matte Liquid Mousse,It's Personal cool dusty nude,#9c726f
https://www.sephora.com/product/powder-kiss-lip-cheek-mousse-P520514,MAC Cosmetics,Powder Kiss Lip & Cheek Matte Liquid Mousse,Habit peachy nude,#b66b59
https://www.sephora.com/product/powder-kiss-lip-cheek-mousse-P520514,MAC Cosmetics,Powder Kiss Lip & Cheek Matte Liquid Mousse,Buffiest midtone nudey pink,#9c756b
https://www.sephora.com/product/powder-kiss-lip-cheek-mousse-P520514,MAC Cosmetics,Powder Kiss Lip & Cheek Matte Liquid Mousse,Marrakesh-Mere intense orange brown,#b85245
https://www.sephora.com/product/powder-kiss-lip-cheek-mousse-P520514,MAC Cosmetics,Powder Kiss Lip & Cheek Matte Liquid Mousse,M·A·Csmash true red,#af2225
