product url,shade,swatch alt,brand,name,swatch image url,dominant color 1,dominant color 2,Season Type
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Big O,Big O Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2599828_sw?img404=2599828&w=80&fmt=auto,#842e39,#ff0001,dark/deep autumn
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Champagne Room,Champagne Room Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2607795_sw?img404=2607795&w=80&fmt=auto,#f6586c,#fe0000,bright/clear spring
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Cowgirl,Cowgirl Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2599860_sw?img404=2599860&w=80&fmt=auto,#c0483d,#758488,bright/clear spring
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Get Some,Get Some Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2619149_sw?img404=2619149&w=80&fmt=auto,#a83f53,#fe0000,true/cool winter
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Laid,Laid Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2619150_sw?img404=2619150&w=80&fmt=auto,#fe708b,#ff00fe,light summer
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Quickie,Quickie Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2599858_sw?img404=2599858&w=80&fmt=auto,#db6861,#fe0000,light spring
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Raunchy,Raunchy Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2599859_sw?img404=2599859&w=80&fmt=auto,#cf6653,#ff0000,true/warm spring
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Shagged,Shagged Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2607794_sw?img404=2607794&w=80&fmt=auto,#973e68,#fe0000,soft summer
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Score,Score Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2599829_sw?img404=2599829&w=80&fmt=auto,#a54fb0,#fe0bfe,soft summer
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599828,Smash,Smash Cheek Freak Blush Balm,about-face,Cheek Freak Blush Balm,https://media.ulta.com/i/ulta/2599827_sw?img404=2599827&w=80&fmt=auto,#903b4a,#fe0000,soft summer
